section,file_path,file_format,data_format,frames_with_I3Photons,frames_with_nonempty_I3Photons,unique_string_id_count,total_photon_count,avg_photons_per_nonempty_frame,status,error
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/33996141/gen_008.i3.zst,i3.zst,I3Photons,200,200,1378,98397023,491985.115,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/33996141/gen_010.i3.zst,i3.zst,I3Photons,198,198,1378,93378125,471606.6919191919,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34052919/gen_008.i3.zst,i3.zst,I3Photons,199,199,1378,47459874,238491.82914572864,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34094642/gen_001.i3.zst,i3.zst,I3Photons,200,200,1378,99432998,497164.99,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34094642/gen_003.i3.zst,i3.zst,I3Photons,198,198,1378,117546916,593671.2929292929,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34094642/gen_008.i3.zst,i3.zst,I3Photons,200,200,1378,72451690,362258.45,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34217559/gen_001.i3.zst,i3.zst,I3Photons,200,200,1378,105339747,526698.735,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34217559/gen_010.i3.zst,i3.zst,I3Photons,200,200,1377,53442830,267214.15,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34225816/gen_005.i3.zst,i3.zst,I3Photons,200,200,1378,92499534,462497.67,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34233761/gen_005.i3.zst,i3.zst,I3Photons,200,200,1378,106083445,530417.225,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34233761/gen_006.i3.zst,i3.zst,I3Photons,200,200,1378,77938421,389692.105,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34240101/gen_001.i3.zst,i3.zst,I3Photons,200,200,1378,117108035,585540.175,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34240101/gen_006.i3.zst,i3.zst,I3Photons,200,200,1378,49285437,246427.185,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34250277/gen_007.i3.zst,i3.zst,I3Photons,199,199,1378,76750640,385681.608040201,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34254077/gen_003.i3.zst,i3.zst,I3Photons,200,200,1378,93022445,465112.225,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34254077/gen_004.i3.zst,i3.zst,I3Photons,200,200,1378,56918839,284594.195,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34254077/gen_006.i3.zst,i3.zst,I3Photons,200,200,1378,35907961,179539.805,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34266348/gen_001.i3.zst,i3.zst,I3Photons,199,199,1378,71147477,357525.01005025127,ok,
full_geometry/Electron,/project/6008051/pone_simulation/MC000009-nu_e-2_6-LeptonInjector_PROPOSAL_clsim-v17.1/Generator/34266348/gen_002.i3.zst,i3.zst,I3Photons,199,199,1378,81797330,411041.8592964824,ok,
