string,x,y
1,-140.0,-762.1
2,-100.0,-762.1
3,-60.0,-762.1
4,-20.0,-762.1
5,20.0,-762.1
6,60.0,-762.1
7,100.0,-762.1
8,140.0,-762.1
9,-280.0,-727.5
10,-240.0,-727.5
11,-200.0,-727.5
12,-160.0,-727.5
13,-120.0,-727.5
14,-80.0,-727.5
15,-40.0,-727.5
16,0.0,-727.5
17,40.0,-727.5
18,80.0,-727.5
19,120.0,-727.5
20,160.0,-727.5
21,200.0,-727.5
22,240.0,-727.5
23,280.0,-727.5
24,-340.0,-692.8
25,-300.0,-692.8
26,-260.0,-692.8
27,-220.0,-692.8
28,-180.0,-692.8
29,-140.0,-692.8
30,-100.0,-692.8
31,-60.0,-692.8
32,-20.0,-692.8
33,20.0,-692.8
34,60.0,-692.8
35,100.0,-692.8
36,140.0,-692.8
37,180.0,-692.8
38,220.0,-692.8
39,260.0,-692.8
40,300.0,-692.8
41,340.0,-692.8
42,-400.0,-658.2
43,-360.0,-658.2
44,-320.0,-658.2
45,-280.0,-658.2
46,-240.0,-658.2
47,-200.0,-658.2
48,-160.0,-658.2
49,-120.0,-658.2
50,-80.0,-658.2
51,-40.0,-658.2
52,0.0,-658.2
53,40.0,-658.2
54,80.0,-658.2
55,120.0,-658.2
56,160.0,-658.2
57,200.0,-658.2
58,240.0,-658.2
59,280.0,-658.2
60,320.0,-658.2
61,360.0,-658.2
62,400.0,-658.2
63,-460.0,-623.5
64,-420.0,-623.5
65,-380.0,-623.5
66,-340.0,-623.5
67,-300.0,-623.5
68,-260.0,-623.5
69,-220.0,-623.5
70,-180.0,-623.5
71,-140.0,-623.5
72,-100.0,-623.5
73,-60.0,-623.5
74,-20.0,-623.5
75,20.0,-623.5
76,60.0,-623.5
77,100.0,-623.5
78,140.0,-623.5
79,180.0,-623.5
80,220.0,-623.5
81,260.0,-623.5
82,300.0,-623.5
83,340.0,-623.5
84,380.0,-623.5
85,420.0,-623.5
86,460.0,-623.5
87,-480.0,-588.9
88,-440.0,-588.9
89,-400.0,-588.9
90,-360.0,-588.9
91,-320.0,-588.9
92,-280.0,-588.9
93,-240.0,-588.9
94,-200.0,-588.9
95,-160.0,-588.9
96,-120.0,-588.9
97,-80.0,-588.9
98,-40.0,-588.9
99,0.0,-588.9
100,40.0,-588.9
101,80.0,-588.9
102,120.0,-588.9
103,160.0,-588.9
104,200.0,-588.9
105,240.0,-588.9
106,280.0,-588.9
107,320.0,-588.9
108,360.0,-588.9
109,400.0,-588.9
110,440.0,-588.9
111,480.0,-588.9
112,-540.0,-554.3
113,-500.0,-554.3
114,-460.0,-554.3
115,-420.0,-554.3
116,-380.0,-554.3
117,-340.0,-554.3
118,-300.0,-554.3
119,-260.0,-554.3
120,-220.0,-554.3
121,-180.0,-554.3
122,-140.0,-554.3
123,-100.0,-554.3
124,-60.0,-554.3
125,-20.0,-554.3
126,20.0,-554.3
127,60.0,-554.3
128,100.0,-554.3
129,140.0,-554.3
130,180.0,-554.3
131,220.0,-554.3
132,260.0,-554.3
133,300.0,-554.3
134,340.0,-554.3
135,380.0,-554.3
136,420.0,-554.3
137,460.0,-554.3
138,500.0,-554.3
139,540.0,-554.3
140,-560.0,-519.6
141,-520.0,-519.6
142,-480.0,-519.6
143,-440.0,-519.6
144,-400.0,-519.6
145,-360.0,-519.6
146,-320.0,-519.6
147,-280.0,-519.6
148,-240.0,-519.6
149,-200.0,-519.6
150,-160.0,-519.6
151,-120.0,-519.6
152,-80.0,-519.6
153,-40.0,-519.6
154,0.0,-519.6
155,40.0,-519.6
156,80.0,-519.6
157,120.0,-519.6
158,160.0,-519.6
159,200.0,-519.6
160,240.0,-519.6
161,280.0,-519.6
162,320.0,-519.6
163,360.0,-519.6
164,400.0,-519.6
165,440.0,-519.6
166,480.0,-519.6
167,520.0,-519.6
168,560.0,-519.6
169,-580.0,-485.0
170,-540.0,-485.0
171,-500.0,-485.0
172,-460.0,-485.0
173,-420.0,-485.0
174,-380.0,-485.0
175,-340.0,-485.0
176,-300.0,-485.0
177,-260.0,-485.0
178,-220.0,-485.0
179,-180.0,-485.0
180,-140.0,-485.0
181,-100.0,-485.0
182,-60.0,-485.0
183,-20.0,-485.0
184,20.0,-485.0
185,60.0,-485.0
186,100.0,-485.0
187,140.0,-485.0
188,180.0,-485.0
189,220.0,-485.0
190,260.0,-485.0
191,300.0,-485.0
192,340.0,-485.0
193,380.0,-485.0
194,420.0,-485.0
195,460.0,-485.0
196,500.0,-485.0
197,540.0,-485.0
198,580.0,-485.0
199,-600.0,-450.3
200,-560.0,-450.3
201,-520.0,-450.3
202,-480.0,-450.3
203,-440.0,-450.3
204,-400.0,-450.3
205,-360.0,-450.3
206,-320.0,-450.3
207,-280.0,-450.3
208,-240.0,-450.3
209,-200.0,-450.3
210,-160.0,-450.3
211,-120.0,-450.3
212,-80.0,-450.3
213,-40.0,-450.3
214,0.0,-450.3
215,40.0,-450.3
216,80.0,-450.3
217,120.0,-450.3
218,160.0,-450.3
219,200.0,-450.3
220,240.0,-450.3
221,280.0,-450.3
222,320.0,-450.3
223,360.0,-450.3
224,400.0,-450.3
225,440.0,-450.3
226,480.0,-450.3
227,520.0,-450.3
228,560.0,-450.3
229,600.0,-450.3
230,-620.0,-415.7
231,-580.0,-415.7
232,-540.0,-415.7
233,-500.0,-415.7
234,-460.0,-415.7
235,-420.0,-415.7
236,-380.0,-415.7
237,-340.0,-415.7
238,-300.0,-415.7
239,-260.0,-415.7
240,-220.0,-415.7
241,-180.0,-415.7
242,-140.0,-415.7
243,-100.0,-415.7
244,-60.0,-415.7
245,-20.0,-415.7
246,20.0,-415.7
247,60.0,-415.7
248,100.0,-415.7
249,140.0,-415.7
250,180.0,-415.7
251,220.0,-415.7
252,260.0,-415.7
253,300.0,-415.7
254,340.0,-415.7
255,380.0,-415.7
256,420.0,-415.7
257,460.0,-415.7
258,500.0,-415.7
259,540.0,-415.7
260,580.0,-415.7
261,620.0,-415.7
262,-680.0,-381.1
263,-640.0,-381.1
264,-600.0,-381.1
265,-560.0,-381.1
266,-520.0,-381.1
267,-480.0,-381.1
268,-440.0,-381.1
269,-400.0,-381.1
270,-360.0,-381.1
271,-320.0,-381.1
272,-280.0,-381.1
273,-240.0,-381.1
274,-200.0,-381.1
275,-160.0,-381.1
276,-120.0,-381.1
277,-80.0,-381.1
278,-40.0,-381.1
279,0.0,-381.1
280,40.0,-381.1
281,80.0,-381.1
282,120.0,-381.1
283,160.0,-381.1
284,200.0,-381.1
285,240.0,-381.1
286,280.0,-381.1
287,320.0,-381.1
288,360.0,-381.1
289,400.0,-381.1
290,440.0,-381.1
291,480.0,-381.1
292,520.0,-381.1
293,560.0,-381.1
294,600.0,-381.1
295,640.0,-381.1
296,680.0,-381.1
297,-660.0,-346.4
298,-620.0,-346.4
299,-580.0,-346.4
300,-540.0,-346.4
301,-500.0,-346.4
302,-460.0,-346.4
303,-420.0,-346.4
304,-380.0,-346.4
305,-340.0,-346.4
306,-300.0,-346.4
307,-260.0,-346.4
308,-220.0,-346.4
309,-180.0,-346.4
310,-140.0,-346.4
311,-100.0,-346.4
312,-60.0,-346.4
313,-20.0,-346.4
314,20.0,-346.4
315,60.0,-346.4
316,100.0,-346.4
317,140.0,-346.4
318,180.0,-346.4
319,220.0,-346.4
320,260.0,-346.4
321,300.0,-346.4
322,340.0,-346.4
323,380.0,-346.4
324,420.0,-346.4
325,460.0,-346.4
326,500.0,-346.4
327,540.0,-346.4
328,580.0,-346.4
329,620.0,-346.4
330,660.0,-346.4
331,-680.0,-311.8
332,-640.0,-311.8
333,-600.0,-311.8
334,-560.0,-311.8
335,-520.0,-311.8
336,-480.0,-311.8
