feature,p25,p50,p75
charge,0.8021047115325928,1.0024992227554321,1.2039170265197754
dom_time,2062.0051464003759065,2202.3037242740501824,2429.6309942351845166
dom_x,-440.0000000000000000,-120.0000000000000000,160.0000000000000000
dom_y,-245.7437415779595256,-37.8976446696942730,169.9484522385709795
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,96.0000000000000000,165.0000000000000000,218.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-439.8616391071141720,-119.8616391071141578,160.1383608928858564
pmt_y,-245.9258297911105160,-37.7155564565432684,169.8572089558611538
pmt_z,-200.0000000000000000,50.0000000000000000,299.8616391071141720
