string,x,y
1,-120.0,-730.717967697245
2,-40.0,-730.717967697245
3,40.0,-730.717967697245
4,120.0,-730.717967697245
5,200.0,-730.717967697245
6,-400.0,-661.4359353944899
7,-320.0,-661.4359353944899
8,-240.0,-661.4359353944899
9,-160.0,-661.4359353944899
10,-80.0,-661.4359353944899
11,0.0,-661.4359353944899
12,80.0,-661.4359353944899
13,160.0,-661.4359353944899
14,240.0,-661.4359353944899
15,320.0,-661.4359353944899
16,400.0,-661.4359353944899
17,-440.0,-592.1539030917348
18,-360.0,-592.1539030917348
19,-280.0,-592.1539030917348
20,-200.0,-592.1539030917348
21,-120.0,-592.1539030917348
22,-40.0,-592.1539030917348
23,40.0,-592.1539030917348
24,120.0,-592.1539030917348
25,200.0,-592.1539030917348
26,280.0,-592.1539030917348
27,360.0,-592.1539030917348
28,440.0,-592.1539030917348
29,-560.0,-522.8718707889798
30,-480.0,-522.8718707889798
31,-400.0,-522.8718707889798
32,-320.0,-522.8718707889798
33,-240.0,-522.8718707889798
34,-160.0,-522.8718707889798
35,-80.0,-522.8718707889798
36,0.0,-522.8718707889798
37,80.0,-522.8718707889798
38,160.0,-522.8718707889798
39,240.0,-522.8718707889798
40,320.0,-522.8718707889798
41,400.0,-522.8718707889798
42,480.0,-522.8718707889798
43,560.0,-522.8718707889798
44,-600.0,-453.5898384862247
45,-520.0,-453.5898384862247
46,-440.0,-453.5898384862247
47,-360.0,-453.5898384862247
48,-280.0,-453.5898384862247
49,-200.0,-453.5898384862247
50,-120.0,-453.5898384862247
51,-40.0,-453.5898384862247
52,40.0,-453.5898384862247
53,120.0,-453.5898384862247
54,200.0,-453.5898384862247
55,280.0,-453.5898384862247
56,360.0,-453.5898384862247
57,440.0,-453.5898384862247
58,520.0,-453.5898384862247
59,600.0,-453.5898384862247
60,-640.0,-384.30780618346967
61,-560.0,-384.30780618346967
62,-480.0,-384.30780618346967
63,-400.0,-384.30780618346967
64,-320.0,-384.30780618346967
65,-240.0,-384.30780618346967
66,-160.0,-384.30780618346967
67,-80.0,-384.30780618346967
68,0.0,-384.30780618346967
69,80.0,-384.30780618346967
70,160.0,-384.30780618346967
71,240.0,-384.30780618346967
72,320.0,-384.30780618346967
73,400.0,-384.30780618346967
74,480.0,-384.30780618346967
75,560.0,-384.30780618346967
76,640.0,-384.30780618346967
77,-680.0,-315.0257738807146
78,-600.0,-315.0257738807146
79,-520.0,-315.0257738807146
80,-440.0,-315.0257738807146
81,-360.0,-315.0257738807146
82,-280.0,-315.0257738807146
83,-200.0,-315.0257738807146
84,-120.0,-315.0257738807146
85,-40.0,-315.0257738807146
86,40.0,-315.0257738807146
87,120.0,-315.0257738807146
88,200.0,-315.0257738807146
89,280.0,-315.0257738807146
90,360.0,-315.0257738807146
91,440.0,-315.0257738807146
92,520.0,-315.0257738807146
93,600.0,-315.0257738807146
94,680.0,-315.0257738807146
95,-720.0,-245.74374157795953
96,-640.0,-245.74374157795953
97,-560.0,-245.74374157795953
98,-480.0,-245.74374157795953
99,-400.0,-245.74374157795953
100,-320.0,-245.74374157795953
101,-240.0,-245.74374157795953
102,-160.0,-245.74374157795953
103,-80.0,-245.74374157795953
104,0.0,-245.74374157795953
105,80.0,-245.74374157795953
106,160.0,-245.74374157795953
107,240.0,-245.74374157795953
108,320.0,-245.74374157795953
109,400.0,-245.74374157795953
110,480.0,-245.74374157795953
111,560.0,-245.74374157795953
112,640.0,-245.74374157795953
113,720.0,-245.74374157795953
114,-680.0,-176.46170927520444
115,-600.0,-176.46170927520444
116,-520.0,-176.46170927520444
117,-440.0,-176.46170927520444
118,-360.0,-176.46170927520444
119,-280.0,-176.46170927520444
120,-200.0,-176.46170927520444
121,-120.0,-176.46170927520444
122,-40.0,-176.46170927520444
123,40.0,-176.46170927520444
124,120.0,-176.46170927520444
125,200.0,-176.46170927520444
126,280.0,-176.46170927520444
127,360.0,-176.46170927520444
128,440.0,-176.46170927520444
129,520.0,-176.46170927520444
130,600.0,-176.46170927520444
131,680.0,-176.46170927520444
132,-720.0,-107.17967697244936
133,-640.0,-107.17967697244936
134,-560.0,-107.17967697244936
135,-480.0,-107.17967697244936
136,-400.0,-107.17967697244936
137,-320.0,-107.17967697244936
138,-240.0,-107.17967697244936
139,-160.0,-107.17967697244936
140,-80.0,-107.17967697244936
141,0.0,-107.17967697244936
142,80.0,-107.17967697244936
143,160.0,-107.17967697244936
144,240.0,-107.17967697244936
145,320.0,-107.17967697244936
146,400.0,-107.17967697244936
147,480.0,-107.17967697244936
148,560.0,-107.17967697244936
149,640.0,-107.17967697244936
150,720.0,-107.17967697244936
151,-760.0,-37.89764466969427
152,-680.0,-37.89764466969427
153,-600.0,-37.89764466969427
154,-520.0,-37.89764466969427
155,-440.0,-37.89764466969427
156,-360.0,-37.89764466969427
157,-280.0,-37.89764466969427
158,-200.0,-37.89764466969427
159,-120.0,-37.89764466969427
160,-40.0,-37.89764466969427
161,40.0,-37.89764466969427
162,120.0,-37.89764466969427
163,200.0,-37.89764466969427
164,280.0,-37.89764466969427
165,360.0,-37.89764466969427
166,440.0,-37.89764466969427
167,520.0,-37.89764466969427
168,600.0,-37.89764466969427
169,680.0,-37.89764466969427
