epoch,elapsed_min,epoch_duration_min,rss_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,16.673,16.673,2.228,144.04,nan,nan,nan,nan
1,33.052,16.379,2.314,134.97,nan,nan,nan,nan
2,49.945,16.893,2.324,137.13,nan,nan,nan,nan
3,65.463,15.518,2.325,155.40,nan,nan,nan,nan
4,80.990,15.527,2.324,147.93,nan,nan,nan,nan
5,96.453,15.463,2.324,155.97,nan,nan,nan,nan
6,111.930,15.476,2.325,138.56,nan,nan,nan,nan
7,127.644,15.714,2.345,199.74,nan,nan,nan,nan
8,143.232,15.589,2.343,166.36,nan,nan,nan,nan
9,158.744,15.511,2.344,165.60,nan,nan,nan,nan
10,174.186,15.442,2.344,141.34,nan,nan,nan,nan
11,189.668,15.482,2.345,129.41,nan,nan,nan,nan
12,205.093,15.425,2.345,128.56,nan,nan,nan,nan
13,220.555,15.463,2.345,161.46,nan,nan,nan,nan
14,236.094,15.539,2.345,145.68,nan,nan,nan,nan
15,251.507,15.412,2.346,124.92,nan,nan,nan,nan
16,267.541,16.035,2.345,100.59,nan,nan,nan,nan
17,283.855,16.314,2.346,134.11,nan,nan,nan,nan
18,299.901,16.046,2.347,136.77,nan,nan,nan,nan
