epoch,train_loss,val_loss,val_opening_angle_p16_deg,val_opening_angle_median_deg,val_opening_angle_p84_deg,val_kappa_mean
0,,-0.8262211098527694,3.379945993423462,7.972373008728027,22.897964477539062,64.58009338378906
1,0.9781250322642675,-1.330800907138447,2.1203792095184326,5.4202704429626465,18.769996643066406,90.93061828613281
2,-1.0622570360000796,-1.4148176566964539,2.1016273498535156,5.183266639709473,17.98225975036621,87.27368927001953
3,-1.3658614681307704,-1.4696078039463756,1.9939815998077393,4.941259384155273,17.552152633666992,78.6355972290039
4,-1.4577688332203966,-1.5170433932107852,1.9226442575454712,4.7519145011901855,16.793729782104492,85.98704528808594
5,-1.5085134890683416,-1.5628364815383502,1.694072961807251,4.420913219451904,16.398990631103516,83.66373443603516
6,-1.5623539478111421,-1.5901236825301293,1.6546823978424072,4.2755937576293945,15.944196701049805,88.32759857177734
7,-1.5991050683918107,-1.6079322346052058,1.6557401418685913,4.215435981750488,15.73058795928955,90.62753295898438
8,-1.6384181586856184,-1.6391566214604043,1.4874765872955322,4.001573085784912,15.4354887008667,86.9500961303711
9,-1.668661896344688,-1.6535588277365392,1.4327632188796997,3.912196159362793,15.236652374267578,90.78308868408203
