epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,21.618,21.618,2.141,57.523,63.17,40.0,30.530,79.647,38.3
1,41.500,19.882,2.141,58.019,63.53,2.0,36.577,79.647,45.9
2,61.278,19.778,2.140,54.589,59.88,0.0,36.577,79.647,45.9
3,81.167,19.890,2.126,58.783,65.94,82.0,36.577,79.647,45.9
4,100.935,19.768,2.126,59.809,72.39,55.0,36.577,79.647,45.9
5,120.711,19.776,2.126,57.599,64.32,83.0,36.577,79.647,45.9
6,140.701,19.990,2.127,57.681,74.42,9.0,36.577,79.647,45.9
7,160.500,19.798,2.126,48.152,74.88,86.0,36.577,79.647,45.9
8,180.516,20.017,2.126,48.699,65.97,86.0,36.577,79.647,45.9
9,200.545,20.028,2.125,43.869,53.97,86.0,36.577,79.647,45.9
10,220.424,19.879,2.127,42.532,73.51,22.0,36.577,79.647,45.9
11,240.267,19.844,2.140,42.194,64.13,46.0,36.577,79.647,45.9
12,260.129,19.861,2.141,42.084,67.08,20.0,36.577,79.647,45.9
13,280.042,19.914,2.172,42.304,60.58,59.0,36.577,79.647,45.9
14,299.448,19.406,2.178,42.466,60.95,87.0,36.577,79.647,45.9
15,318.957,19.509,2.179,42.060,62.41,2.0,36.577,79.647,45.9
16,338.537,19.580,2.079,42.344,63.03,0.0,36.577,79.647,45.9
17,358.140,19.603,2.080,42.464,66.26,38.0,36.577,79.647,45.9
18,377.756,19.615,2.081,42.421,69.44,46.0,36.577,79.647,45.9
19,397.377,19.622,2.080,42.608,59.98,0.0,36.577,79.647,45.9
20,417.052,19.675,2.081,43.571,62.78,52.0,36.577,79.647,45.9
21,437.007,19.955,2.080,43.390,59.09,18.0,36.577,79.647,45.9
22,456.562,19.555,2.081,42.820,69.25,23.0,36.577,79.647,45.9
23,476.297,19.735,2.081,43.956,70.19,70.0,36.577,79.647,45.9
24,495.834,19.537,2.081,42.761,57.69,50.0,36.577,79.647,45.9
25,515.420,19.586,2.080,43.081,59.09,42.0,36.577,79.647,45.9
26,535.155,19.734,2.080,42.934,55.34,81.0,38.999,79.647,49.0
27,554.843,19.688,2.081,42.797,61.08,0.0,38.999,79.647,49.0
28,574.480,19.638,2.079,42.990,64.69,40.0,38.999,79.647,49.0
29,593.964,19.484,2.080,43.183,71.47,54.0,38.999,79.647,49.0
