epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,20.183,20.183,1.873,244.190,70.38,87.0,36.698,79.647,46.1
1,39.369,19.186,1.886,246.680,70.52,81.0,36.700,79.647,46.1
2,58.454,19.085,1.937,386.404,80.42,63.0,43.144,79.647,54.2
3,77.705,19.250,1.876,265.673,72.67,0.0,43.144,79.647,54.2
4,96.933,19.229,1.878,267.771,81.55,87.0,43.144,79.647,54.2
5,116.051,19.118,1.878,250.291,102.77,63.0,43.144,79.647,54.2
6,135.684,19.633,1.877,242.350,74.25,0.0,43.144,79.647,54.2
7,154.978,19.295,1.877,262.639,74.73,87.0,43.144,79.647,54.2
8,174.446,19.468,1.876,396.749,100.84,0.0,43.144,79.647,54.2
9,193.416,18.969,1.878,243.065,81.78,39.0,43.144,79.647,54.2
10,212.512,19.096,1.879,231.352,64.65,37.0,43.144,79.647,54.2
11,231.628,19.115,1.880,381.902,83.47,79.0,43.144,79.647,54.2
12,251.331,19.703,1.878,261.888,72.33,0.0,43.144,79.647,54.2
13,270.770,19.439,1.880,275.699,73.92,50.0,43.144,79.647,54.2
14,290.019,19.249,1.879,238.417,88.51,27.0,43.144,79.647,54.2
15,309.594,19.575,1.878,255.196,70.61,17.0,43.144,79.647,54.2
16,329.034,19.440,1.880,256.383,83.47,57.0,43.144,79.647,54.2
17,348.236,19.202,1.880,404.743,96.37,0.0,43.144,79.647,54.2
18,367.865,19.629,1.879,245.161,66.16,4.0,43.144,79.647,54.2
19,387.034,19.169,1.880,265.051,71.97,48.0,43.144,79.647,54.2
20,405.991,18.957,1.881,231.611,69.73,64.0,43.144,79.647,54.2
21,425.562,19.571,1.878,229.676,64.14,30.0,43.144,79.647,54.2
22,444.734,19.171,1.878,37.851,68.74,2.0,43.144,79.647,54.2
23,464.004,19.271,1.883,36.230,78.61,41.0,43.144,79.647,54.2
24,483.396,19.392,1.882,36.763,71.49,51.0,43.144,79.647,54.2
25,503.552,20.157,1.883,32.864,61.20,19.0,43.144,79.647,54.2
26,522.889,19.336,1.884,52.134,77.10,23.0,43.144,79.647,54.2
27,542.323,19.434,1.882,52.013,77.89,50.0,43.144,79.647,54.2
28,562.241,19.918,1.883,52.566,54.53,0.0,43.144,79.647,54.2
29,581.627,19.387,1.883,49.520,64.77,0.0,43.144,79.647,54.2
