epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,25.362,25.362,2.110,43.129,63.19,86.0,36.407,79.647,45.7
1,45.147,19.785,2.107,43.172,60.08,40.0,42.501,79.647,53.4
2,64.905,19.758,2.108,43.350,63.29,81.0,42.501,79.647,53.4
3,85.029,20.124,2.102,43.528,67.49,20.0,42.501,79.647,53.4
4,104.875,19.845,2.102,43.772,76.79,26.0,42.501,79.647,53.4
5,124.663,19.788,2.103,43.907,67.91,52.0,42.501,79.647,53.4
6,144.476,19.814,2.104,44.080,66.90,0.0,42.501,79.647,53.4
7,164.135,19.659,2.105,43.881,67.81,63.0,42.501,79.647,53.4
8,183.640,19.505,2.104,44.364,70.06,0.0,42.501,79.647,53.4
9,202.983,19.343,2.103,43.971,59.53,47.0,42.501,79.647,53.4
10,222.565,19.582,2.103,44.178,59.82,60.0,42.501,79.647,53.4
11,242.035,19.470,2.103,44.515,59.67,63.0,42.501,79.647,53.4
12,261.461,19.426,2.103,44.168,63.40,11.0,42.501,79.647,53.4
13,281.059,19.598,2.114,44.784,65.89,86.0,42.501,79.647,53.4
14,300.438,19.379,2.116,44.221,64.01,82.0,42.501,79.647,53.4
15,319.929,19.491,2.115,44.409,67.73,86.0,42.501,79.647,53.4
16,339.886,19.957,2.114,44.045,63.58,10.0,42.501,79.647,53.4
17,359.418,19.532,2.116,43.940,66.56,77.0,42.501,79.647,53.4
18,378.957,19.539,2.116,44.516,70.69,75.0,42.501,79.647,53.4
19,398.300,19.343,2.117,43.967,71.95,80.0,42.501,79.647,53.4
20,417.844,19.544,2.116,43.860,57.82,80.0,42.501,79.647,53.4
21,437.307,19.463,2.116,44.226,69.34,86.0,42.501,79.647,53.4
22,456.771,19.464,2.117,43.984,67.06,0.0,42.501,79.647,53.4
23,476.277,19.506,2.117,44.424,61.11,68.0,42.501,79.647,53.4
24,495.641,19.364,2.116,44.730,73.71,1.0,42.501,79.647,53.4
25,515.127,19.486,2.116,44.529,72.76,0.0,42.501,79.647,53.4
26,534.765,19.639,2.116,45.009,58.62,0.0,43.716,79.647,54.9
27,554.284,19.518,2.117,44.621,68.72,58.0,43.716,79.647,54.9
28,573.751,19.468,2.116,44.281,58.42,0.0,43.716,79.647,54.9
29,592.938,19.187,2.117,44.406,72.62,0.0,43.716,79.647,54.9
