epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,21.016,21.016,2.118,70.219,56.04,80.0,30.526,79.647,38.3
1,40.236,19.220,2.118,70.071,67.05,0.0,36.573,79.647,45.9
2,59.437,19.201,2.117,70.153,63.12,0.0,36.573,79.647,45.9
3,78.999,19.562,2.100,70.611,61.23,0.0,36.573,79.647,45.9
4,98.345,19.345,2.101,70.763,73.56,0.0,36.573,79.647,45.9
5,117.772,19.427,2.101,71.103,55.74,17.0,36.573,79.647,45.9
6,137.464,19.692,2.100,71.414,64.77,0.0,36.573,79.647,45.9
7,156.879,19.415,2.101,71.366,67.81,0.0,36.573,79.647,45.9
8,176.187,19.309,2.100,71.373,71.06,2.0,36.573,79.647,45.9
9,195.408,19.220,2.101,71.313,74.42,54.0,36.573,79.647,45.9
10,215.111,19.703,2.099,71.481,56.38,0.0,36.573,79.647,45.9
11,234.454,19.343,2.100,71.033,70.85,0.0,36.573,79.647,45.9
12,253.660,19.206,2.100,71.597,74.68,14.0,36.573,79.647,45.9
13,273.034,19.374,2.101,73.725,60.87,0.0,36.573,79.647,45.9
14,292.236,19.202,2.101,74.270,61.25,4.0,36.573,79.647,45.9
15,311.421,19.185,2.000,75.019,59.81,0.0,36.573,79.647,45.9
16,330.741,19.320,2.001,68.797,64.31,0.0,36.573,79.647,45.9
17,350.364,19.623,2.001,92.709,67.62,0.0,36.573,79.647,45.9
18,370.281,19.918,2.025,157.171,81.42,0.0,36.573,79.647,45.9
19,390.370,20.089,2.034,159.612,82.49,64.0,36.573,79.647,45.9
20,409.781,19.411,2.034,128.827,69.79,0.0,36.575,79.647,45.9
21,429.337,19.556,2.033,128.126,55.35,0.0,36.575,79.647,45.9
22,448.511,19.174,2.034,127.305,56.81,0.0,36.575,79.647,45.9
23,467.998,19.487,2.032,128.180,65.45,0.0,36.575,79.647,45.9
24,487.761,19.763,2.034,128.025,56.91,0.0,36.575,79.647,45.9
25,506.974,19.213,2.033,68.780,66.03,60.0,36.575,79.647,45.9
26,526.280,19.307,2.034,68.573,62.83,34.0,38.997,79.647,49.0
