epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,20.718,20.718,1.848,67.014,54.87,0.0,35.763,79.647,44.9
1,40.223,19.505,1.935,66.973,69.56,89.0,35.763,79.647,44.9
2,59.665,19.442,1.936,65.296,78.85,54.0,42.218,79.647,53.0
3,79.173,19.508,1.836,65.104,81.14,0.0,42.218,79.647,53.0
4,98.282,19.109,1.836,69.986,74.37,0.0,42.218,79.647,53.0
5,117.270,18.988,1.836,69.775,72.89,0.0,42.218,79.647,53.0
6,136.469,19.199,1.836,70.043,83.46,0.0,42.218,79.647,53.0
7,155.802,19.333,1.836,67.858,64.64,0.0,42.218,79.647,53.0
8,175.006,19.204,1.837,67.591,86.04,0.0,42.218,79.647,53.0
9,194.176,19.169,1.838,67.758,79.18,0.0,42.218,79.647,53.0
10,213.960,19.784,1.839,59.527,64.64,0.0,42.218,79.647,53.0
11,233.667,19.707,1.839,65.258,69.55,0.0,42.218,79.647,53.0
12,252.971,19.304,1.841,65.734,75.83,0.0,42.218,79.647,53.0
13,272.413,19.443,1.840,67.503,67.01,0.0,42.218,79.647,53.0
14,292.179,19.766,1.841,65.433,63.81,0.0,42.218,79.647,53.0
15,311.784,19.606,1.840,65.318,64.19,0.0,42.218,79.647,53.0
16,330.803,19.018,1.844,61.403,72.88,0.0,42.218,79.647,53.0
17,349.850,19.047,1.852,60.704,68.54,0.0,42.218,79.647,53.0
18,368.949,19.099,1.853,63.592,62.67,0.0,42.218,79.647,53.0
19,387.983,19.034,1.854,63.448,76.98,0.0,42.218,79.647,53.0
20,407.356,19.372,1.854,65.218,64.26,0.0,42.218,79.647,53.0
21,426.387,19.031,1.854,65.289,66.90,0.0,42.218,79.647,53.0
22,445.345,18.958,1.853,64.642,68.87,0.0,42.218,79.647,53.0
23,464.738,19.393,1.856,66.208,61.98,0.0,42.218,79.647,53.0
