epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,25.795,25.795,2.101,70.676,57.30,0.0,36.372,79.647,45.7
1,45.491,19.696,2.101,70.293,65.30,0.0,43.657,79.647,54.8
2,65.069,19.579,2.101,71.546,66.83,56.0,43.657,79.647,54.8
3,84.777,19.707,2.097,71.778,62.74,0.0,43.657,79.647,54.8
4,104.253,19.476,2.098,68.919,65.17,0.0,43.659,79.647,54.8
5,123.603,19.350,2.097,85.844,71.39,0.0,43.659,79.647,54.8
6,143.449,19.846,2.098,85.764,59.62,0.0,43.659,79.647,54.8
7,163.179,19.730,2.096,85.439,68.72,52.0,43.659,79.647,54.8
8,182.895,19.716,2.096,71.032,68.67,0.0,43.659,79.647,54.8
9,202.610,19.716,2.096,70.977,56.48,0.0,43.659,79.647,54.8
10,222.468,19.857,2.107,72.125,56.89,0.0,43.659,79.647,54.8
11,244.286,21.818,2.107,72.245,42.99,0.0,43.659,79.647,54.8
12,382.022,137.737,2.104,86.798,21.40,0.0,43.659,79.647,54.8
13,401.230,19.208,2.109,86.055,75.21,50.0,43.659,79.647,54.8
14,420.410,19.180,2.109,87.574,74.79,0.0,43.659,79.647,54.8
15,439.599,19.190,2.108,87.716,58.47,25.0,43.659,79.647,54.8
16,458.884,19.285,2.108,69.033,51.81,0.0,43.659,79.647,54.8
17,477.899,19.015,2.108,68.790,72.46,0.0,43.659,79.647,54.8
18,497.117,19.219,2.109,71.853,67.83,63.0,43.659,79.647,54.8
19,516.434,19.316,2.108,71.258,66.18,0.0,43.659,79.647,54.8
20,535.565,19.131,2.108,72.909,61.31,0.0,43.659,79.647,54.8
21,554.885,19.320,2.107,73.113,56.04,84.0,43.659,79.647,54.8
22,573.896,19.011,2.108,72.918,69.79,60.0,43.659,79.647,54.8
23,593.185,19.289,2.108,73.146,66.08,0.0,43.659,79.647,54.8
24,612.271,19.086,2.107,69.872,62.39,22.0,43.659,79.647,54.8
