epoch,train_loss,val_loss,lr,best_model_is_updated,val_residual_p16_deg,val_residual_p50_deg,val_residual_p84_deg,val_W_deg,val_kappa_p16,val_kappa_p50,val_kappa_p84,val_kappa_W
0,,0.26341584379517585,0.0009832202922552824,True,-15.46880054473877,-0.9489591717720032,13.568546295166016,14.518672943115234,3.102872848510742,13.793277740478516,36.21156311035156,16.554344177246094
1,1.0912469444315822,0.02679233428366374,0.0009496610146015882,True,-11.891617774963379,0.4668434262275696,12.238855361938477,12.065237045288086,3.7541887760162354,21.339319229125977,55.3120002746582,25.778905868530273
2,0.15907978376292656,-0.005494968858968699,0.0009161016787402332,True,-12.81725788116455,-0.49010705947875977,11.348390579223633,12.08282470703125,3.5884177684783936,24.878477096557617,64.49969482421875,30.455638885498047
3,0.04457706011864614,-0.0993755209152559,0.000882542401086539,True,-10.60249137878418,0.5302822589874268,11.502898216247559,11.052694320678711,3.783466100692749,32.512210845947266,87.03473663330078,41.62563705444336
4,-0.05894154341222483,-0.1320172276947588,0.000848983065225184,True,-10.654297828674316,0.3223576247692108,11.001670837402344,10.827983856201172,3.8828463554382324,33.50056457519531,80.86503601074219,38.49109649658203
5,-0.12376452385579287,-0.13298067973659672,0.0008154237293638289,True,-11.084830284118652,0.3459627330303192,10.667001724243164,10.87591552734375,3.726059913635254,34.15464782714844,78.93460083007812,37.604270935058594
6,-0.16076267597167665,-0.18006337849761322,0.0007818643935024738,True,-9.111671447753906,1.1459145545959473,11.088613510131836,10.100142478942871,4.072422027587891,37.403255462646484,85.0785140991211,40.50304412841797
7,-0.17683624791749608,-0.181054987018629,0.0007483050576411188,True,-10.517922401428223,-0.14165812730789185,9.85423755645752,10.186079978942871,4.189612865447998,38.89687728881836,86.17662811279297,40.993507385253906
8,-0.20965738360281697,-0.2184711437570607,0.0007147457799874246,True,-10.172508239746094,-0.14981336891651154,9.561781883239746,9.867145538330078,4.415567398071289,42.56886672973633,89.33041381835938,42.45742416381836
9,-0.230546963629295,-0.1717374700115852,0.0006811864441260695,False,-10.05025863647461,0.3674232065677643,10.569783210754395,10.310020446777344,4.3659586906433105,42.77692794799805,90.1668701171875,42.900455474853516
10,-0.24100612454382309,-0.2186740397856544,0.0006476271082647145,True,-10.29289722442627,-0.34430983662605286,9.346699714660645,9.819798469543457,4.639113426208496,46.598812103271484,91.89925384521484,43.630069732666016
11,-0.265500576386287,-0.20201584410943105,0.0006140677724033594,False,-10.36284351348877,-0.32917413115501404,9.551050186157227,9.956947326660156,4.480766296386719,43.891563415527344,85.68758392333984,40.60340881347656
12,-0.2829565219110986,-0.2455499907565507,0.0005805084947496653,True,-10.008986473083496,-0.32115548849105835,8.926440238952637,9.467713356018066,5.044628143310547,48.84312057495117,94.8192367553711,44.887306213378906
13,-0.29972865646236146,-0.2640713343890316,0.0005469491588883102,True,-9.307147026062012,-0.48650071024894714,8.78772258758545,9.04743480682373,4.836873531341553,50.565948486328125,96.51972198486328,45.84142303466797
14,-0.31659652600795946,-0.27177259695723455,0.0005133898230269551,True,-9.03831672668457,-0.042360834777355194,9.107168197631836,9.072742462158203,5.109877586364746,52.14359664916992,98.52540588378906,46.707763671875
15,-0.3356717012150507,-0.2799162722476871,0.0004798305162694305,True,-8.999481201171875,-0.16814559698104858,9.003194808959961,9.001338005065918,5.125802993774414,52.005802154541016,92.84173583984375,43.857967376708984
16,-0.35323890106974304,-0.26323370841109184,0.00044627118040807545,False,-9.759143829345703,-0.41910040378570557,8.468961715698242,9.114052772521973,5.326179504394531,54.153682708740234,95.39550018310547,45.03466033935547
17,-0.3657311813382815,-0.2757720300404539,0.00041271187365055084,False,-8.801228523254395,0.4356021583080292,9.011412620544434,8.906320571899414,5.908103942871094,58.204288482666016,97.23600006103516,45.66394805908203
18,-0.37664422081487087,-0.27852584147449333,0.0003791525377891958,False,-9.111615180969238,-0.32596394419670105,8.332805633544922,8.722209930419922,6.631809711456299,61.351016998291016,104.45463562011719,48.91141128540039
19,-0.3968713036169884,-0.2840984612397709,0.00034559323103167117,True,-8.60247802734375,0.39516744017601013,9.050626754760742,8.826552391052246,6.329626083374023,62.0982780456543,101.47297668457031,47.57167434692383
