logE_center,E_center_GeV,n,q16,q50,q84,sigma68_log10,bias_log10,frac68_approx
2.1245000000000003,133.1987042313163,4332,0.06186221540136076,0.240966726182279,0.5143611678877428,0.226249476243191,0.240966726182279,0.6836409345058836
2.375,237.13737056616552,3590,-0.06623837216697226,0.14161243049328787,0.445185296712379,0.2557118344396756,0.14161243049328787,0.801821789024832
2.625,421.6965034285822,2890,-0.17651805687951477,0.08124051224265089,0.45124627298385195,0.31388216493168336,0.08124051224265089,1.060070888141083
2.875,749.8942093324558,2407,-0.3072319168482719,0.045639850441588414,0.4465846418120944,0.3769082793301831,0.045639850441588414,1.3818163893649937
3.125,1333.5214321633239,2048,-0.4456725562323204,-0.02929928735028897,0.35503652052662804,0.4003545383794742,-0.02929928735028897,1.5139378592560302
3.375,2371.373705661655,1830,-0.590472535716495,-0.09007965695761869,0.2933225747494269,0.441897555232961,-0.09007965695761869,1.766289034626685
3.625,4216.965034285822,1478,-0.7293394123753186,-0.16971520679174007,0.2574756545532586,0.4934075334642886,-0.16971520679174007,2.1146376814272054
3.875,7498.942093324558,1234,-0.8980682939266525,-0.2587903664589579,0.2243931883104221,0.5612307411185373,-0.2587903664589579,2.6410843594382385
4.125,13335.21432163324,968,-0.980775976460627,-0.2570974270328755,0.2614360636200141,0.6211060200403206,-0.2570974270328755,3.179323799156605
4.375,23713.737056616555,702,-1.1322158459642755,-0.2026695242965778,0.29171417388203036,0.7119650099231529,-0.2026695242965778,4.151871355034554
4.625,42169.65034285822,578,-1.1180878497639481,-0.19697338095059683,0.2743342357525991,0.6962110427582736,-0.19697338095059683,3.968336961068152
4.875,74989.42093324558,468,-1.164773784150878,-0.16744881938889655,0.29377990317889685,0.7292768436648874,-0.16744881938889655,4.36138313242509
5.125,133352.1432163324,366,-1.2835137674329542,-0.266905671804148,0.34344890950404766,0.8134813384685009,-0.266905671804148,5.50850643340834
5.375,237137.3705661655,324,-1.576556389677607,-0.29705365688817936,0.31306185593071056,0.9448091228041587,-0.29705365688817936,7.80661727432955
5.625,421696.5034285822,200,-1.7552770357132683,-0.3449398250090259,0.22461398667529003,0.9899455111942792,-0.3449398250090259,8.771146194699057
5.875,749894.2093324559,157,-1.8427671322414518,-0.48647590857750056,0.22959668615621887,1.0361819091988353,-0.48647590857750056,9.868807807023234
6.125,1333521.432163324,96,-1.3131590799942612,-0.3922697684884802,0.2040185864632843,0.7585888332287727,-0.3922697684884802,4.735731766860848
6.375,2371373.7056616554,100,-2.4525179648928304,-0.6789391866847335,0.07312054429016625,1.2628192545914982,-0.6789391866847335,17.315520053336858
6.625,4216965.034285823,57,-1.7178814350413891,-0.5149215022777951,0.05665094843981476,0.887266191740602,-0.5149215022777951,6.713761230968741
6.875,7498942.093324558,64,-2.442371303592451,-0.38220372376106726,0.09974761799239937,1.271059460792425,-0.38220372376106726,17.666352409681412
