epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,11.508,11.508,1.837,53.499,74.83,38.0,21.489,79.647,27.0
1,21.831,10.323,1.848,53.204,72.82,88.0,25.308,79.647,31.8
2,32.167,10.336,1.848,51.659,70.86,68.0,25.308,79.647,31.8
3,42.469,10.302,1.850,52.522,69.69,46.0,25.308,79.647,31.8
4,52.710,10.241,1.850,51.934,77.00,51.0,25.308,79.647,31.8
5,62.920,10.210,1.850,52.244,74.30,53.0,25.308,79.647,31.8
6,73.174,10.255,1.821,51.763,74.30,29.0,25.308,79.647,31.8
7,83.418,10.243,1.851,52.226,72.35,0.0,25.308,79.647,31.8
8,93.673,10.256,1.918,51.957,67.49,81.0,30.595,79.647,38.4
9,103.940,10.267,1.917,52.327,69.91,68.0,30.595,79.647,38.4
10,114.189,10.249,1.917,52.122,64.32,41.0,30.595,79.647,38.4
11,124.468,10.279,1.918,50.522,69.49,22.0,30.595,79.647,38.4
12,134.739,10.271,1.919,52.344,66.64,43.0,30.595,79.647,38.4
13,144.984,10.245,1.919,52.029,65.07,86.0,30.595,79.647,38.4
14,155.309,10.325,1.919,52.909,71.04,88.0,30.595,79.647,38.4
15,165.586,10.278,1.919,52.495,70.16,75.0,30.595,79.647,38.4
16,175.920,10.333,1.918,52.793,77.95,62.0,30.595,79.647,38.4
17,186.203,10.283,1.919,52.388,72.73,25.0,30.595,79.647,38.4
18,196.364,10.161,1.919,52.215,76.91,40.0,30.595,79.647,38.4
19,206.555,10.191,1.919,52.770,74.17,0.0,30.595,79.647,38.4
20,216.699,10.144,1.919,52.444,75.04,25.0,30.595,79.647,38.4
21,226.803,10.104,1.921,52.815,72.29,6.0,30.595,79.647,38.4
22,236.907,10.104,1.916,47.997,71.76,0.0,30.595,79.647,38.4
23,247.127,10.220,1.921,84.971,88.93,7.0,30.595,79.647,38.4
24,258.022,10.895,1.922,122.592,90.58,88.0,30.595,79.647,38.4
25,269.157,11.135,1.921,130.120,105.93,69.0,30.595,79.647,38.4
26,280.337,11.181,1.922,137.059,97.20,84.0,30.595,79.647,38.4
27,291.425,11.088,1.922,136.810,101.44,26.0,30.595,79.647,38.4
28,302.471,11.046,1.920,138.509,106.59,84.0,30.595,79.647,38.4
29,313.592,11.121,1.921,138.733,91.79,24.0,30.595,79.647,38.4
