epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,13.344,13.344,2.192,143.399,104.64,87.0,35.343,79.647,44.4
1,24.481,11.138,2.192,143.781,92.04,89.0,36.310,79.647,45.6
2,35.626,11.145,2.193,144.894,99.84,43.0,36.310,79.647,45.6
3,46.638,11.012,2.193,144.953,101.61,83.0,36.310,79.647,45.6
4,57.804,11.166,2.193,145.092,103.73,13.0,36.310,79.647,45.6
5,68.944,11.140,2.192,143.960,99.52,16.0,36.310,79.647,45.6
6,79.860,10.916,2.192,144.319,92.02,40.0,36.310,79.647,45.6
7,90.889,11.028,2.192,144.460,103.57,84.0,42.665,79.647,53.6
8,102.040,11.152,2.192,144.165,102.42,84.0,42.665,79.647,53.6
9,113.329,11.288,2.193,143.173,102.29,26.0,42.665,79.647,53.6
10,124.465,11.136,2.191,144.494,94.49,42.0,42.665,79.647,53.6
11,135.603,11.138,2.191,145.473,94.11,0.0,42.665,79.647,53.6
12,146.692,11.089,2.191,142.468,105.51,0.0,42.665,79.647,53.6
13,157.813,11.121,2.190,144.021,100.97,56.0,42.665,79.647,53.6
14,168.900,11.088,2.191,142.732,90.40,87.0,42.665,79.647,53.6
15,180.097,11.197,2.191,139.736,92.96,59.0,42.665,79.647,53.6
16,191.235,11.138,2.191,143.417,92.70,0.0,42.665,79.647,53.6
17,202.338,11.103,2.190,140.827,102.27,0.0,42.665,79.647,53.6
18,213.327,10.989,2.190,143.900,97.14,76.0,42.665,79.647,53.6
19,224.336,11.008,2.190,144.853,109.70,29.0,42.665,79.647,53.6
20,235.355,11.020,2.191,145.190,98.78,2.0,42.665,79.647,53.6
21,246.347,10.992,2.192,144.803,95.65,29.0,42.665,79.647,53.6
22,257.437,11.090,2.191,142.662,92.31,54.0,42.665,79.647,53.6
23,268.479,11.042,2.191,143.279,85.81,0.0,42.665,79.647,53.6
24,279.609,11.129,2.190,144.527,100.86,84.0,42.665,79.647,53.6
25,290.549,10.941,2.190,143.491,98.98,88.0,42.665,79.647,53.6
